value,log_level
"17/03/28 11:33:51 INFO BlockManagerInfo: Added broadcast_4_piece127 in memory on mesos-slave-27:37229 (size: 4.0 MB, free: 11.4 GB)",INFO
17/06/09 10:00:20 INFO executor.Executor: Running task 0.0 in stage 1199.0 (TID 48040),INFO
"17/06/09 18:00:08 INFO python.PythonRunner: Times: total = 38, boot = 33, init = 5, finish = 0",INFO
"17/03/21 12:21:11 INFO BlockManagerInfo: Added broadcast_5_piece169 in memory on mesos-slave-06:37725 (size: 4.0 MB, free: 12.4 GB)",INFO
17/06/09 17:26:15 INFO output.FileOutputCommitter: Saved output of task 'attempt_201706091726_2962_m_000013_124169' to hdfs://10.10.34.11:9000/pjhe/test/10/_temporary/0/task_201706091726_2962_m_000013,INFO
17/06/09 18:10:36 INFO storage.BlockManager: Removing RDD 639,INFO
17/06/08 11:33:17 INFO executor.Executor: Running task 28.0 in stage 518.0 (TID 20748),INFO
17/06/06 21:30:58 INFO executor.Executor: Running task 4.0 in stage 250.0 (TID 10004),INFO
17/02/01 15:28:00 INFO executor.Executor: Running task 1765.0 in stage 239.0 (TID 45964),INFO
17/06/08 19:44:53 INFO executor.Executor: Finished task 2.0 in stage 6748.0 (TID 269961). 2433 bytes result sent to driver,INFO
